active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Ryan Lackey,Thomas Sparks,Erik Berls",S11,2011,"B2B,Infrastructure",0,Mountain View,https://bookface-images.s3.amazonaws.com/small_logos/f01716372f6f7ee7618920ade7a25141ed7d5274.png,CryptoSeal provides Virtual Private Networks (VPNs) as a service.,Cryptoseal,"Mountain View, CA, USA","Server key management, VPN as a Service, Privacy VPN.  Sold to…",Acquired,"cloud-workload-protection,devsecops,next-gen-network-security",3,http://cryptoseal.com
Sumedh Pathak,S11,,"B2B,Infrastructure",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/202e7e02db190c7ab3eef78d63f9fe5d31e43275.png,"The amount of time businesses spend on their databases is altogether too much time. Citus is fixing this problem.

Citus is worry-free Postgres. Built to scale out, Citus is an extension to Postgres that is available as open source, as enterprise software that can be run on-prem or on any cloud, and as a fully-managed database as a service. Whether you have a multi-tenant application that needs to scale out, or you need performance for your real-time analytics customers, with Citus, you can focus on your app—not your database.

Founded in 2011, Citus Data is venture backed by Khosla Ventures and Data Collective. Citus is a Y Combinator alumnus and has offices in San Francisco’s SoMa district and Istanbul, Turkey.  

At Citus, we make it simple to scale out Postgres. 

Citus Data online: www.citusdata.com
Documentation: docs.citusdata.com
GitHub: github.com/citusdata/citus",Citus Data,"San Francisco, CA, USA",Real-time. Big data. PostgreSQL,Acquired,"open-source,big-data,databases",45,http://citusdata.com
"Bjarne Christiansen,Alexander Stigsen",S11,2011,"B2B,Infrastructure",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/e7c0efa8c2a26fb6420ba78e65ca6bed2a565d94.png,"Realm (formerly tight.db) is a mobile database that enables its users to develop applications faster, develop applications that are fast, and craft amazing user experiences. Realm is a replacement for SQLite & Core Data. It can save users thousands of lines of code & weeks of work, and lets them craft amazing new user experiences. It is a Y Combinator company, headquartered in San Francisco.",Realm,"San Francisco, CA, USA",Better data structures = no DB.,Acquired,,51,http://realm.io
"Andrew Lee,James Tamplin",S11,,"B2B,Infrastructure",0,Mountain View,https://bookface-images.s3.amazonaws.com/small_logos/5f06cb2d2d57acd42365dbecb2d7b1f3fbd60904.png,"Firebase is a mobile platform that gives developers the tools and infrastructure to build better apps and grow successful businesses

Firebase was acquired by Google in October, 2014.
Learn more at firebase.google.com",Firebase,"Mountain View, CA, USA","Build and grow iOS, Android, and Web apps.",Acquired,,500,http://firebase.com
"Prayag Narula,Philipp Gutheim,Anand Kulkarni,Dave Rolnitzky",S11,,"B2B,Sales",0,"Berkeley, CA",,"LeadGenius is the most efficient way to equip sales and marketing teams with custom B2B lead data at scale. Our data experts conduct ongoing research to automatically supply teams with accurate contact information and hard-to-acquire data points for your most valuable buyer personas.

By combining a remote global workforce, custom data, and machine learning, LeadGenius delivers the highest lead generation value in the marketplace.",LeadGenius,"Berkeley, CA, USA",LeadGenius is an account-based marketing and lead generation…,Active,"b2b,sales,marketing,ai",50,http://leadgenius.com
"Jeff Widman,David Turner",S11,,"B2B,Analytics",0,San Francisco,,"PageLever is the leading analytics platform for measuring your brand’s presence on Facebook.

4 of the top 10 Facebook pages rely on PageLever, as well as brands like YouTube, MTV, and Intel.

In January 2013, PageLever was acquired by Unified Social.",Pagelever,"San Francisco, CA, USA","Facebook analytics. Acquired by Unified in January 2013. 
",Acquired,"analytics,social",11,http://pagelever.com
Jason Tan,S11,2011,"B2B,Security",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/4eb5f9ca677956a27183ce3ae798b02616a1e3e2.png,"Sift is the leader in Digital Trust & Safety, empowering digital disruptors to Fortune 500 companies to unlock new revenue without risk. Sift dynamically prevents fraud and abuse through industry-leading technology and expertise, an unrivaled global data network of 70 billion events per month, and a commitment to long-term customer partnerships. Global brands such as DoorDash, Twitter, and Wayfair rely on Sift to gain a competitive advantage in their markets. 
",Sift,"San Francisco, CA, USA",The Leader in Digital Trust & Safety,Active,"fintech,machine-learning,saas,b2b",,https://sift.com/
Savraj Singh,W09,2009,"Real Estate and Construction,Housing and Real Estate",0,"Princeton, NJ",https://bookface-images.s3.amazonaws.com/small_logos/2a004a5ad1f98a7b8df8b18dc5438fe0e6b22acd.png,"Wattvision offers a simple idea: Monitor your energy consumption in realtime from the web. We started by selling the complete sensor and software solution, and now we are focusing on developing software that works with our hardware partners.",Wattvision,"Princeton, NJ, USA",Sensors and software for energy tracking. Like 'fitbit' for your…,Active,,0,http://www.wattvision.com
Tom Saffell,S11,,"B2B,Marketing",0,San Francisco,,"Videopixie is a marketplace for video production that allows users to have great video on the website, such as promotional videos and etc.

Videopixie is a marketplace where you can hire the world’s best video professionals at a range of price points, to fit any budget. Retailers use Videopixie to make weekly product videos. Game companies use Videopixie to make trailers, using in-game footage, to air on national TV. Newly-weds use Videopixie to edit their five hours of ‘big-day’ footage into a five minute keepsake for life.",Videopixie,"San Francisco, CA, USA",Marketplace for Video Production Services.  We help you hire the best…,Active,"marketplace,video",11,http://videopixie.com
Scott Milliken,S11,2011,B2B,10,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/98189b51f5b6f25d164e611f2ea6a3c5f972de3f.png,"MixRank processes petabytes of data every month from web crawls, Google Play Store, Apple App Store, social media, and dozens of other sources. We have hundreds of customers using our data products including Google, Amazon, Facebook, Intel, and Adobe, across industries Sales, Marketing, Finance, and Security.",MixRank,"San Francisco, CA, USA","Data products for sales, marketing, finance, recruiting, and more.",Active,"saas,b2b",31,https://mixrank.com
Chris Zacharias,S11,2011,"B2B,Infrastructure",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/d95dbc346596e3e1fb9cc6dd5db4cb8d77ce0686.png,"Nobody should have to employ expensive imaging scientists and engineers for their business to get the most out of their visual media. This is where imgix has your back. imgix is a platform for managing, processing, rendering, optimizing, and delivering your existing visual assets so that you can meet the demands of your business and your team can stay focused on what they do best.

The business demands on web visual media can blindside even the most hyper-aware content teams and developers. Just to be competitive on the Internet, you need your images to be sized perfectly to every device, served in one of any of a half dozen web formats, optimized to the absolute best perceptual quality while maintaining pinpoint performance, and distributed to wherever your users are, anywhere in the world. And that is just the baseline. Next-level imaging concerns like copyright, licensing, accessibility, moderation, illegal or explicit content, ""fake news"", and more, can threaten your business at any moment if not handled properly. Get any of these things wrong and you are shedding revenue, ceding ground to competitors, and potentially exposing your business to extreme liability.

By working with imgix's powerful APIs, SDKs, user interfaces, and integrations, you can rest assured that any demands on your images and videos will always be met, now and into the future, without you having to invest in building it yourself or patching together a mishmash of open source and third-party technologies. Our platform is designed to ensure that your images are always working for your business and never against it.

imgix was launched through the famed Y Combinator accelerator program. Its customers include Google, Lyft, Kickstarter, AirBnb, Coursera, Bonobos, Spotify, Vimeo, Bustle, and many others.",imgix,"San Francisco, CA, USA",The platform for your visual media.,Active,"developer-tools,saas,video",65,https://www.imgix.com
"Devon Galloway,Michael Litt",S11,2011,"B2B,Marketing",0,"Kitchener, Canada",https://bookface-images.s3.amazonaws.com/small_logos/934307090567f3d1ab554fdee17624890cb7199b.png,"Vidyard is The Video Platform for Marketing, Sales & Secure Communications. 

Vidyard is the easiest way to create, host, and share videos so businesses can keep connected with customers and colleagues.

Want to learn more? Visit our website, and check out our 6-minute demo: http://ow.ly/q7hz30jMDd6",Vidyard,"Kitchener, ON, Canada",Video for business.,Active,,201,http://vidyard.com
"Fenn Bailey,Azim Barodawala",W09,,"B2B,Marketing",0,"Atlanta, GA",https://bookface-images.s3.amazonaws.com/small_logos/cf9bb5e6e2675a17e58680fdafb1e6a3bef6c968.png,"Volantio is a leader in travel technology software focused on revenue and capacity optimization for airlines.  

Based in Atlanta, GA, Volantio partners with major airlines globally such as Qantas, Iberia, Alaska Airlines, Volaris, Jetstar Airways, Emirates, Ethiopian Airlines, Scoot-Tigerair, and others. 

The company’s Yana platform enables airlines to generate incremental revenue and reduce operational costs, while putting greater predictability and control back into the hands of their customers.

We are backed by institutional and strategic investors from around the world including Ingleside Investors, JetBlue Technology Ventures, International Airlines Group (IAG), and Qantas Ventures.",Volantio,"Atlanta, GA, USA",Post-booking revenue and capacity optimization for airlines…,Active,,19,http://www.volantio.com
"matt debergalis,Nick Martin,Geoff Schmidt",S11,2012,"B2B,Infrastructure",2,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/3d684926422fe826a03f5d68cd83bdb413d1c454.png,"Apollo GraphQL is the leader in open source and commercial GraphQL technologies. Apollo’s open-source GraphQL client, server, and gateway are downloaded more than 17M times per month and used in production by over 30% of the Fortune 500. Customers like Walmart, Expedia, Glassdoor, Audi, and PayPal, use the Apollo Graph Platform to unify their GraphQL efforts, collaborate on graph development, and safely iterate on their graphs. Based in San Francisco, Apollo is backed by Insight Partners, Andreessen Horowitz, Matrix Partners, Trinity Ventures, Y Combinator and individual investors.",Apollo,"San Francisco, CA, USA",Apollo helps engineering teams accelerate delivery,Active,"developer-tools,open-source,graphql",200,http://apollographql.com/
